filename,speaker,text,sentiment,emotion
call_1.wav,agent,Hello! I’m calling from XYZ Insurance. How are you today?,NEUTRAL,Calm
call_1.wav,customer,"I’m doing good, thank you. What is this about?",POSITIVE,Happy
call_1.wav,agent,We’re offering a new health plan with flexible monthly pricing.,POSITIVE,Happy
call_1.wav,customer,Sounds interesting. How much does it cost?,NEUTRAL,Calm
call_2.wav,agent,Hi! I’m from ABC CRM. Do you currently use any CRM software?,NEUTRAL,Calm
call_2.wav,customer,"Yes, but it’s slow and expensive.",NEGATIVE,Frustrated
call_2.wav,agent,"Our software is faster, affordable, and integrates with WhatsApp.",POSITIVE,Happy
call_2.wav,customer,That’s great. Can you send me a demo link?,POSITIVE,Happy
call_3.wav,agent,"Hello, this is Mike from Bright Broadband. Are you interested in a faster plan?",POSITIVE,Happy
call_3.wav,customer,"Maybe, depends on the cost.",NEUTRAL,Calm
call_3.wav,agent,We have a 50% discount this week on all new connections.,POSITIVE,Happy
call_3.wav,customer,That’s a good offer. How can I apply?,POSITIVE,Happy
call_4.wav,agent,Hi! I’m from ABC CRM. Do you currently use any CRM software?,NEUTRAL,Calm
call_4.wav,customer,"Yes, but it’s slow and expensive.",NEGATIVE,Frustrated
call_4.wav,agent,"Our software is faster, affordable, and integrates with WhatsApp.",POSITIVE,Happy
call_4.wav,customer,That’s great. Can you send me a demo link?,POSITIVE,Happy
call_5.wav,agent,Hello! I’m calling from XYZ Insurance. How are you today?,NEUTRAL,Calm
call_5.wav,customer,"I’m doing good, thank you. What is this about?",POSITIVE,Happy
call_5.wav,agent,We’re offering a new health plan with flexible monthly pricing.,POSITIVE,Happy
call_5.wav,customer,Sounds interesting. How much does it cost?,NEUTRAL,Calm
call_6.wav,agent,Hi! I’m from ABC CRM. Do you currently use any CRM software?,NEUTRAL,Calm
call_6.wav,customer,"Yes, but it’s slow and expensive.",NEGATIVE,Frustrated
call_6.wav,agent,"Our software is faster, affordable, and integrates with WhatsApp.",POSITIVE,Happy
call_6.wav,customer,That’s great. Can you send me a demo link?,POSITIVE,Happy
call_7.wav,agent,Hello! I’m calling from XYZ Insurance. How are you today?,NEUTRAL,Calm
call_7.wav,customer,"I’m doing good, thank you. What is this about?",POSITIVE,Happy
call_7.wav,agent,We’re offering a new health plan with flexible monthly pricing.,POSITIVE,Happy
call_7.wav,customer,Sounds interesting. How much does it cost?,NEUTRAL,Calm
call_8.wav,agent,"Hello, this is Mike from Bright Broadband. Are you interested in a faster plan?",POSITIVE,Happy
call_8.wav,customer,"Maybe, depends on the cost.",NEUTRAL,Calm
call_8.wav,agent,We have a 50% discount this week on all new connections.,POSITIVE,Happy
call_8.wav,customer,That’s a good offer. How can I apply?,POSITIVE,Happy
call_9.wav,agent,"Hello, this is Mike from Bright Broadband. Are you interested in a faster plan?",POSITIVE,Happy
call_9.wav,customer,"Maybe, depends on the cost.",NEUTRAL,Calm
call_9.wav,agent,We have a 50% discount this week on all new connections.,POSITIVE,Happy
call_9.wav,customer,That’s a good offer. How can I apply?,POSITIVE,Happy
call_10.wav,agent,Hello! I’m calling from XYZ Insurance. How are you today?,NEUTRAL,Calm
call_10.wav,customer,"I’m doing good, thank you. What is this about?",POSITIVE,Happy
call_10.wav,agent,We’re offering a new health plan with flexible monthly pricing.,POSITIVE,Happy
call_10.wav,customer,Sounds interesting. How much does it cost?,NEUTRAL,Calm
call_11.wav,agent,"Hello, this is Mike from Bright Broadband. Are you interested in a faster plan?",POSITIVE,Happy
call_11.wav,customer,"Maybe, depends on the cost.",NEUTRAL,Calm
